Puzzles,,,,,,
,G1,,,,,
,,G1I1,G1C1,G1I2,G1C2,
,,,,,,
,G2,,,,,
,,G2I1,G2C1,G2I2,G2I3,G2C2
,,,,,,
G1,,,,,,
G1I1,,,,,,
,chitChats,,,,,
,,"Well well, if it isn’t the newcomer!",,,,
,,Make yourself useful instead of dozing off on that bench!,,,,
,,,,,,
,timeLimitPerSeconds,,,,,
,,30,,,,
,,,,,,
,correctWords,,,,,
,,Empty,,,,
,,,,,,
,puzzleNpcPrompt,,,,,
,,What do you want now? Don’t you see I’m working?,,,,
,,,,,,
,puzzleResponseFalse,,,,,
,,If you wanna talk at least find something to talk about!,,,,
,,,,,,
,puzzleTimeRanOut,,,,,
,,If you wanna talk at least find something to talk about!,,,,
,,,,,,
,puzzleSolvedDiaologue,,,,,
,,Empty,,,,
,,,,,,
,,,,,,
G1C1,,,,,,
,chitChats,,,,,
,,"Well well, if it isn’t the newcomer!",,,,
,,Make yourself useful instead of dozing off on that bench!,,,,
,,,,,,
,timeLimitPerSeconds,,,,,
,,60,,,,
,,,,,,
,correctWords,,,,,
,,The,,,,
,,gate,,,,
,,is,,,,
,,locked,,,,
,,,,,,
,puzzleNpcPrompt,,,,,
,,What do you want now? Don’t you see I’m working?,,,,
,,,,,,
,puzzleResponseFalse,,,,,
,,Speak up youngster! Don't you see how old I am?,,,,
,,,,,,
,puzzleTimeRanOut,,,,,
,,Nobody told you that you need to put a word aftern another to talk?,,,,
,,,,,,
,puzzleSolvedDiaologue,,,,,
,,Of course it’s locked!,,,,
,,I always lock this zone when I’m cleaning it.,,,,
,,I don’t want people to mess it up while I’m trying to do my job!,,,,
,,Next time think twice before taking a nap on that bench.,,,,
,,"Anyhow, let me get the key for you.",,,,
,,...,,,,
,,Wait... Where is the key?,,,,
,,I had it in my pocket!,,,,
,,Oh no! It must have fallen on the ground while I was working!,,,,
,,Quick! Help me find it!,,,,
,,,,,,
,,,,,,
G1I2,,,,,,
,chitChats,,,,,
,,Come one youngster!,,,,
,,Help me find the key!,,,,
,,,,,,
,timeLimitPerSeconds,,,,,
,,30,,,,
,,,,,,
,correctWords,,,,,
,,Empty,,,,
,,,,,,
,puzzleNpcPrompt,,,,,
,,What is it? Did you find the key yet?,,,,
,,,,,,
,puzzleResponseFalse,,,,,
,,"Stop wasting time! The key, we need to find it!",,,,
,,,,,,
,puzzleTimeRanOut,,,,,
,,"Stop wasting time! The key, we need to find it!",,,,
,,,,,,
,puzzleSolvedDiaologue,,,,,
,,Empty,,,,
,,,,,,
,,,,,,
G1C2,,,,,,
,chitChats,,,,,
,,Come on youngster!,,,,
,,Help me find the key!,,,,
,,,,,,
,timeLimitPerSeconds,,,,,
,,60,,,,
,,,,,,
,correctWords,,,,,
,,Unlock,,,,
,,the,,,,
,,gate,,,,
,,,,,,
,puzzleNpcPrompt,,,,,
,,You found the key!,,,,
,,"Great, thank you for you help.",,,,
,,"So, you need something?",,,,
,,,,,,
,puzzleResponseFalse,,,,,
,,Speak louder youngster! I can't hear you!,,,,
,,,,,,
,puzzleTimeRanOut,,,,,
,,Come on youngster! You lost your words?,,,,
,,,,,,
,puzzleSolvedDiaologue,,,,,
,,"Oh, of course.",,,,
,,"Here, you are free to go.",,,,
,,I will leave the gate open for today.,,,,
,,"I still need to finish my work, if you need me you know where to find me.",,,,
,,,,,,
,,,,,,
G2,,,,,,
